id;start_time;end_time;type;status
1;2022-05-18T00:28:57;2022-05-18T13:11:08;CONSULTATION;AVAILABLE
2;2022-05-17T23:14:29;2022-05-18T20:01:31;FOLLOWUP;AVAILABLE
3;2022-05-17T20:22:21;2022-05-17T22:03:23;FOLLOWUP;AVAILABLE
4;2022-05-17T23:57:02;2022-05-17T23:56:34;CONSULTATION;ACTIVE
5;2022-05-18T07:55:25;2022-05-18T11:26:56;CONSULTATION;REJECTED
6;2022-05-18T20:00:33;2022-05-18T02:06:10;CONSULTATION;REJECTED
7;2022-05-17T23:54:51;2022-05-18T12:32:23;FOLLOWUP;REJECTED
8;2022-05-18T17:43:37;2022-05-18T19:42:47;CONSULTATION;AVAILABLE
9;2022-05-18T06:22:50;2022-05-18T00:48:06;CONSULTATION;AVAILABLE
10;2022-05-18T18:38:43;2022-05-18T07:34:35;FOLLOWUP;ACTIVE
